title,description,label
"Prediction for LSG (Lucknow Super Giants) vs PBKS (Punjab Kings) 30.03 
Indian Premier League","LSG 45% Chance of Winning PBKS 55% Parimatch Melbet Megapari T20 Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium Join Parimatch and start betting! After an underwhelming campaign last season, Punjab Kings started off their campaign with an impressive win against Delhi Capitals but in the last game they failed to defend a par score against Royal Challengers Bengaluru. Punjab Kings bowlers had an underwhelming game as RCB won the game with four wickets to spare. After an impressive season last year, LSG were expected to have a solid campaign once again but stuttered in the opening game against Rajasthan Royals. LSG conceded 193 runs in the game as they eventually lost the game by 20 runs. As per our calculations, Punjab Kings are favourites in the upcoming game. Best Bookmakers for Sports Betting in India Rank Rating Bonus Link #1 Parimatch 5 ★★★★★ Welcome bonus INR 30,000 Promocode SCAFE30 Join ParimatchRead review #2 Melbet 4.9 ★★★★★ Welcome bonus INR 20,000 Promocode SCAFE30 Join MelbetRead review #3 1Win 4.8 ★★★★★ Welcome bonus INR 145,000 Promocode SCAFE145 Join 1winRead review Parimatch 5 ★★★★★ Welcome bonus INR 30,000 Promocode SCAFE30 Melbet 4.9 ★★★★★ Welcome bonus INR 20,000 Promocode SCAFE30 1Win 4.8 ★★★★★ Welcome bonus INR 145,000 Promocode SCAFE145 Looking at the games involving Lucknow Super Giants and Punjab Kings this season both sides have question marks in their batting lineup. For both teams to do well this season they need their star players to bat well otherwise both sides could struggle this season. We expect this to be a fairly low scoring game and total runs would be below 346.5. As we have stated earlier we expect this to be a low scoring game but both sides have enough firepower to make a direct impact on the game. The bookmakers believe total boundaries would be around 39.5 which is too low as per our expectations. We believe total boundaries to be higher than 39.5. Most Fours: Punjab Kings Most Sixes: Punjab Kings Highest Opening Partnership: Lucknow Super Giants Historically the venue has favoured the team batting first. Last season, four of the six matches were won by teams who batted first which makes us believe both sides would prefer to bat first at the venue. With 5% chances of disruptions we believe climate would not play a major role in the game. Maximum temperature is expected to be 35C during the game and minimum temperature is expected to be 22C. Lucknow Super Giants Player List KL Rahul (c & wk), Quinton de Kock, Devdutt Padikkal, Ayush Badoni, Marcus Stoinis, Nicholas Pooran, Krunal Pandya, Ravi Bishnoi, Mohsin Khan, Naveen-ul-Haq, Yash Thakur, Deepak Hooda, Mayank Yadav, Amit Mishra, Prerak Mankad, Krishnappa Gowtham, Shivam Mavi, Shamar Joseph, David Willey, Kyle Mayers, Ashton Turner, Manimaran Siddharth, Yudhvir Singh Charak, Arshad Khan, Arshin Kulkarni Predicted Playing XI Quinton de Kock Batter Devdutt Padikkal Batter Ayush Badoni Batter Marcus Stoinis All-rounder KL Rahul Wicket-keeper Nicholas Pooran All-rounder Deepak Hooda Batter Ravi Bishnoi Bowler Mohsin Khan Bowler Krunal",0
Infra boost to LU with lecture-theatre bldg,", Lucknow University will invest a major part of it for the infrastructure upgrade. Among them would be the construction of a five-storey lecture-theatre building with an advanced conference room. ",1
"Auditors from 23 nations to visit LU, take cue from its feat",10 classic baby names that are making a comeback 8 light yet healthy snacks for a speedy weight loss 8 house rules that every parent should teach their child How to make South Indian Lemon Coconut Rice at home How to make South-Indian style Mutton Curry 10 quickest animals that race across the Earth ​10 things mentally strong people do​ Educational qualifications of Mughal rulers Navya Naveli on how the Bachchan household has dishes named after people Fitness secrets of new bride Aditi Rao Hydari,0
"For match against Punjab, LSG squad in prep mode",10 classic baby names that are making a comeback 8 light yet healthy snacks for a speedy weight loss 8 house rules that every parent should teach their child How to make South Indian Lemon Coconut Rice at home How to make South-Indian style Mutton Curry 10 quickest animals that race across the Earth ​10 things mentally strong people do​ Educational qualifications of Mughal rulers Navya Naveli on how the Bachchan household has dishes named after people Fitness secrets of new bride Aditi Rao Hydari,1
Lal Baradari of LU in for revamp with ₹5 crore grant,10 classic baby names that are making a comeback 8 light yet healthy snacks for a speedy weight loss 8 house rules that every parent should teach their child How to make South Indian Lemon Coconut Rice at home How to make South-Indian style Mutton Curry 10 quickest animals that race across the Earth ​10 things mentally strong people do​ Educational qualifications of Mughal rulers Navya Naveli on how the Bachchan household has dishes named after people Fitness secrets of new bride Aditi Rao Hydari,0
Lucknow airport’s T3 to begin operations from this Sunday,10 classic baby names that are making a comeback 8 light yet healthy snacks for a speedy weight loss 8 house rules that every parent should teach their child How to make South Indian Lemon Coconut Rice at home How to make South-Indian style Mutton Curry 10 quickest animals that race across the Earth ​10 things mentally strong people do​ Educational qualifications of Mughal rulers Navya Naveli on how the Bachchan household has dishes named after people Fitness secrets of new bride Aditi Rao Hydari,0
Tipplers give a Holi high of over 17crore in booze sales,10 classic baby names that are making a comeback 8 light yet healthy snacks for a speedy weight loss 8 house rules that every parent should teach their child How to make South Indian Lemon Coconut Rice at home How to make South-Indian style Mutton Curry 10 quickest animals that race across the Earth ​10 things mentally strong people do​ Educational qualifications of Mughal rulers Navya Naveli on how the Bachchan household has dishes named after people Fitness secrets of new bride Aditi Rao Hydari,0
Nominations for 8 seats in second phase begin today,10 classic baby names that are making a comeback 8 light yet healthy snacks for a speedy weight loss 8 house rules that every parent should teach their child How to make South Indian Lemon Coconut Rice at home How to make South-Indian style Mutton Curry 10 quickest animals that race across the Earth ​10 things mentally strong people do​ Educational qualifications of Mughal rulers Navya Naveli on how the Bachchan household has dishes named after people Fitness secrets of new bride Aditi Rao Hydari,1
Khelo IndiaWomen Hockeybegins today,10 classic baby names that are making a comeback 8 light yet healthy snacks for a speedy weight loss 8 house rules that every parent should teach their child How to make South Indian Lemon Coconut Rice at home How to make South-Indian style Mutton Curry 10 quickest animals that race across the Earth ​10 things mentally strong people do​ Educational qualifications of Mughal rulers Navya Naveli on how the Bachchan household has dishes named after people Fitness secrets of new bride Aditi Rao Hydari,0
BJP ready with edu report card before pol exam,10 classic baby names that are making a comeback 8 light yet healthy snacks for a speedy weight loss 8 house rules that every parent should teach their child How to make South Indian Lemon Coconut Rice at home How to make South-Indian style Mutton Curry 10 quickest animals that race across the Earth ​10 things mentally strong people do​ Educational qualifications of Mughal rulers Navya Naveli on how the Bachchan household has dishes named after people Fitness secrets of new bride Aditi Rao Hydari,
