Title,Description,Labels
"If there's one story where risks are limited and upside's high, it is India: HSBC India CEO Hitendra Dave","The absence of global banks in Indian retail lending and the soaring wealth effect of the Indian middle class have provided a springboard for HSBC India to become the vital lever of growth for the British bank, Dave said in an interview with Bhaskar Dutta and…",0
India heading towards huge earnings growth; 15% return can't be ruled out: Vinay Jaising,"The single biggest name which comes into my eyes is basically the housing loan companies, be it Chola, there are tonnes of names in the financial sector you can play the real estate boom. A) The yields are better. B) They are as good as secured loans. C) Thes…",1
India reviewing Asean trade pact with an eye to boost domestic manufacturing,"India is reviewing its trade pact with Asean to address anomalies like the inverted duty structure disadvantaging local manufacturers. Measures such as production-linked incentive schemes, import tariffs, and import monitoring are in place to tackle the trade…",1
India one of the biggest if not our biggest opportunity for growth globally: Heineken CEO,"Heineken's CEO optimistic about India's beer market, focusing on premium brands and local growth. The company invests in talent and capacity, aiming for category leadership and social relevance in the evolving market landscape. Brink says: ""We are investing a…",0
"F&O stocks to buy today: BEL, Axis Bank among top 6 trading ideas",The Nifty future closed positive with gains of 0.14% at 22546 levels on Wednesday. India VIX was down by 2.40% from 11.65 to 11.37 levels. Volatility has been cooling off from the last three sessions.,1
Top small cap stocks that mutual funds added in February. Do you own any?,"According to AMFI, states that companies ranked from 251st position onwards in terms of market capitalization are called small-cap companies. Here are the small cap stocks mutual funds added in February, according to the Mutual Funds Insight report by Nuvama.…",1
"Sweltering summer forecast brings focus onto AC stocks, sizzle likely to be seasonal","In the last five days, Johnson Controls-Hitachi Air Conditioning surged 15.82% while Voltas and Blue Star rose 8.82% and 5.59%, respectively. Whirlpool of India and Amber Enterprises gained 9.88% and 0.33% respectively. The benchmark Nifty was almost flat in …",1
Why Lok Sabha election is a non-event for stock market investors,Recent events suggest a parallel anticipation in the market ahead of the upcoming general election. The market's mood was sceptical before the five assembly elections results were out.,1
Akasa can do in three years what other carriers have spent 15-20 years doing: Vinay Dube,"Vinay Dube of Akasa Air envisions rapid international growth, leveraging India's potential for global travel. The airline aims to achieve in three years what others took 15-20 years, focusing on profitability and customer satisfaction in expanding its network…",0
"FPI’s net buyers of Indian equities at Rs 40,710 crore so far in March","Attributing the selling trends to the spike in US bond yields, expert V K Vijayakumar, Chief Investment Strategist at Geojit Financial Services said the trend of rising foreign portfolio investment in India witnessed in the first week of March continued in th…",1
45-50% growth in Amul’s summer product categories likely this year: MD,"Amul India navigates cocoa price surge impact by passing on costs to consumers. However, as Amul is still a value for money brand, it would pinch the consumers much. Partnerships with CAMPCO aid cocoa bean producers. Expansion into the US fresh milk market an…",1
"Adani Group stocks, bonds fall as the US said to widen probe","Stocks and bonds of Adani companies fell on Monday amid news reports that US prosecutors have widened their probe to investigate whether an Adani company, or people linked to it, including group chairman Gautam Adani, were involved in a pay off to officials i…",1
US probing Indian billionaire Gautam Adani and his group over potential bribery,"Investigators are digging into whether an Adani entity, or people linked to the company including Gautam Adani, were involved in paying officials in India for favorable treatment on an energy project, said the people, who asked not to be identified discussing…",1
"Hungry for returns, investors SIP on stocks","Retail investors surged on Dalal Street, with 15 crore demat accounts. Mutual fund folios reached 11 crore, while equity assets grew. SIPs rose to Rs 19,000 crore amidst foreign fund selloffs, supported by financialisation of savings and digitisation.",1
F&O stocks to buy today: ICICI Bank among top 9 trading ideas,"The Nifty PCR is currently at 1.18. Meaningful call writing is witnessed across 22400-22500 strikes, while put writing was witnessed in 22200-22000 strikes.",1
Apple services restored after brief outages globally,"Apple services, like the App Store and Apple Music, faced global outages affecting users in various countries. The issues, including those on Apple TV+ and Apple Fitness+, were resolved after more than an hour.",2
5 smallcap mutual funds gave over 25% in 5 years. Have you invested in any?,ETMutualFunds analysed daily rolling returns of 199 equity schemes that have completed five years of existence in the market and found that the toppers were from the smallcap category. Betting on Minnows,1
Dipesh Shah on how Samsung’s Bespoke AI can aid in daily life,"Samsung's Bespoke AI combines AI and smart things connectivity to enhance daily life, focusing on affordability. The company envisions the next decade as AI-driven, integrating hardware, software, and AI for distinct capabilities and continuous upgrades. Shah…",1
Indian rupee to rise modestly against dollar in next three months: Poll,"While most emerging market currencies have weakened against the dollar so far this year, the rupee has traded in a tight range of 82.64/$-83.45/$ and is down less than 0.5%.",1
"Hot Stocks: Brokerage view on IDFC First, Titan Company, Godrej Consumer and Marico","Brokerage firm Macquarie has an outperform rating on Marico, Morgan Stanley recommended an Equal Weight rating on Godrej Consumer, JPMorgan has an overweight rating on Titan and Jefferies initiated a buy on IDFC First Bank.",1
"RBI gives more time to comply, eases concerns","In view of feedback received and recent developments, it had been decided that the latest directions on exchange traded currency derivatives (ETCD) would be applicable from May 3, 2024 instead of April 5 as was said in a January 2024 circular, the RBI said.",1
"Breach of 21,900 may trigger further weakness for Nifty","A negative candle was formed on the daily chart, which was placed at the edge of moving below the immediate support of 21,900. The downside breakout of the daily 10/20 period exponential moving average (EMA) and ascending trend line is intact, and the market …",2
I am a big believer in investment-led growth and that is one big area that we need to sustain: Sanjeev Sanyal,"Sanjeev Sanyal emphasizes sustained growth, calling for progress in infrastructure, private sector investment, and administrative reforms. He underscores the need for a modernized legal system and continuous government process re-evaluation to maintain India'…",0
No breakthrough in India-China dialogue,"India and China recently held diplomatic talks to finalize disengagement in Ladakh. Despite no breakthrough, both countries agreed to maintain regular contact for border peace. The 29th WMCC session addressed outstanding issues along the LAC, focusing on Demc…",2
"With sharp border vigil, we're always response-ready: General","India News: India focuses on dialogue to resolve Ladakh conflict with China, strengthening borders and counter-infiltration measures with Pakistan.",2
Air India to start non-stop service between Delhi and Ho Chi Minh City from June,"India News: PUNE: Air India will start non-stop service between Delhi and Ho Chi Minh City (SGN) in Vietnam, starting June 1, airline officials said.",1
Civil society groups asks EC to act against BJP leader for 'insulting reference to disability',India News: NEW DELHI: The National Platform for the Rights of the Disabled (NPRD) has lodged a complaint with the Election Commission of India against BJP’s Raja.,1
"From anti-corruption crusader to liquor 'scam' accused, Kejriwal's arrest big blow to AAP before LS polls","India News: NEW DELHI: From leading the 'India Against Corruption' movement to becoming the chief minister of Delhi thrice in a row, Arvind Kejriwal, arrested by .",1
Envoys of five nations present credentials to President of India,"India News: NEW DELHI: President of India, Droupadi Murmu, accepted credentials from the Ambassadors/High Commissioner of Philippines, Uzbekistan, Belarus, Kenya .",1
'Sound and stable ties' serve common interests: China reacts to PM Modi's border row comments,"India News: NEW DELHI: Reiterating the significance of maintaining ""sound and stable ties"" with India, China on Thursday in responded to Prime Minister Narendra M.",1
"Democracy in our genes, minorities from all religions thriving in India: PM Modi","India News: NEW DELHI: After two consecutive terms in power, even the most popular governments start losing support but India stands out as an exception where pop.",1
"India likely to get normal monsoon this year, Skymet says","India News: NEW DELHI: India is expected to see a normal monsoon in 2024, private weather forecasting agency Skymet said on Tuesday, promising some respite after .",1
"In Nagaur, it’s 2019 redux, but with a twist","India News: In the Jat bastion of Nagaur Lok Sabha seat in Rajasthan, the political future of two leading candidates — BJP’s Jyoti Mirdha and INDIA bloc’s Hanuman.",1
US National Security Advisor coming for talks next week,"India News: US National Security Advisor Jake Sullivan will travel to India next week to ""compare notes on the Indo-Pacific,"" talk about technology cooperation an.",1
ED arrests 3 members of banned PFI in money-laundering case,India News: NEW DELHI: Three alleged members of the banned Popular Front of India (PFI) have been arrested by the Enforcement Directorate (ED) on money-laundering.,1
Air India launches its transformed flying returns loyalty programme,"India News: PUNE: Air India on Wednesday launched its transformed Flying Returns loyalty programme, introducing a simplified new structure, more customer-friendly.",0
"Basement, staircase unearthed at Bhojshala complex: Hindu side",India News: Mhow: The Archaeological Survey of India (ASI) team conducting a court-ordered survey of the disputed Bhojshala complex unearthed a basement with a st.,1
Indian talent in IT sector will play important role in bringing jobs to India: Anurag Thakur,India News: BENGALURU: Union Minister Anurag Thakur said the Centre has set a target to make India 'Viksit Bharat' by 2047 and slammed the previous UPA government.,1
Launch of the report on energy transitions to achieve India’s net-zero targets,India News: MUMBAI: A meeting was held for the launch of the report titled “Synchronizing energy transitions towards possible Net-Zero for India: Affordable and c.,1
"Tamil Nadu: Rahul, CM Stalin to frontline INDIA rally in Coimbatore on April 12","India News: NEW DELHI: Tamil Nadu chief minister MK Stalin and Congress leader Rahul Gandhi will headline an INDIA bloc rally in Coimbatore, the prized Lok Sabha .",1
"Incorporate weather, climate inputs while planning 'one nation, one poll', says IMD chief","India News: NEW DELHI: With the government contemplating the idea of simultaneous Lok Sabha and state elections, India Meteorological Department chief Mrutyunjay .",1
ECI uses ‘Turning 18’ campaign for first time voters,"India News: MUMBAI: As the country gears up for the 2024 Lok Sabha Elections, the Election Commission of India (ECI) has embarked on an innovative journey to enga.",1
"India outreach: Afghanistan to return land to Hindus, Sikhs","India News: NEW DELHI: In another India outreach, Afghanistan’s Taliban authorities are working to restore private land to Hindu and Sikh minorities, reclaiming t.",1
Consulate staff relocated from Sittwe to Yangon,"India News: With the security situation in Myanmar showing no signs of improving, India has relocated its staff at the Indian consulate in Sittwe to Yangon.",1
US remarks on Kejriwal case unacceptable: Govt,India strongly objected to US's call for a fair trial for Delhi CM Arvind Kejriwal. The Ministry of External Affairs protested against US State Department's remarks. India reaffirmed commitment to transparent legal processes and dismissed external interferenc…,1
"Intermittent fasting may raise risk of death due to heart attack, stroke: Study","India News: NEW DELHI: Intermittent fasting, a fad among many in India and abroad, may help shed some extra kilos in short-term but a new study presented at Ameri.",1
"LS polls 'not fair' but despite that, INDIA bloc will get clear majority: Jairam Ramesh","India News: NEW DELHI: The Lok Sabha polls are ""not fair"" with opposition parties being targeted but despite that, the INDIA bloc will get a clear majority in the.",1
India will continue action against piracy & drone threats: Navy chief,"Navy chief Admiral R Hari Kumar said on Saturday that India, being the largest resident naval power in the Indian Ocean Region (IOR), will persist in countering the threats of piracy and drone attacks to uphold the safety, security, and stability of the regio…",1
"19% more India universities in QS rankings, second in Asia","India's research output surged by 54% from 2017-2022, ranking 9th globally for research impact. Saveetha Institute excelled in dentistry. India's rapid research expansion is evident from Scopus/Elsevier data.",1
"Despite row, India allows essentials export to Maldives","India has approved the Maldives government's request to export essential items like sugar, wheat, rice, and onions for 2024-25, marking the highest quantities since 1981. This decision follows tensions over President Mohamed Muizzu's pro-China stance and call…",1
"Cong vows all-India caste survey, schemes for OBCs","India News: BENGALURU: Hours before Lok Sabha poll schedule was announced, Congress unveiled a series of promises aimed at addressing key socio-economic challenge.",1
"India, Thailand discuss measures to strengthen Navy-to-Navy cooperation","The two sides also held discussions on the present situation in the Indian Ocean region, with emphasis on the Red Sea and Gulf of Aden and the need for collaborative efforts towards ensuring peace, stability and maritime security.",1
Congress' manifesto will take India backwards: Rajnath Singh,"Defence Minister Rajnath Singh criticizes Congress' regressive manifesto, praises BJP's vision to develop India by 2047. He highlights India's growing defence strength, clean governance, economic progress, reduced terrorism incidents, and capability to counte…",1
"CSK, India Cements top bond donors of AIADMK","AIADMK received Rs 6 crore in electoral bonds from major donors like India Cements and Chennai Super Kings. Meanwhile, NCP, led by Sharad Pawar, received Rs 65.6 crore from various sources, including Neotia Foundation and Bharti Airtel. Shiv Sena only receive…",1
India backs Philippines amid muscle-flexing by China in SCS,"External affairs minister S Jaishankar expressed support for the Philippines' sovereignty amidst rising tensions with China in the South China Sea. Emphasizing national sovereignty and UNCLOS, Jaishankar discussed defense ties and offered a line of credit to …",1
PM Modi inaugurates Bhutan hospital built with India aid,India News: NEW DELHI: PM Narendra Modi joined his counterpart Tshering Tobgay Saturday in inaugurating a hospital in Thimphu built with Indian assistance before .,1
Why BJP struggles to open account in Kerala,India News: BJP has never had an MP from Kerala.,1
Pune rail division earns Rs 2.14 crore as fines from passengers travelling without tickets in March.,India News: PUNE: The Pune railway division has earned Rs.,1
Income Tax department imposes Rs 103.63 crore fine on Tata Chemicals,India News: NEW DELHI: Income Tax Department has imposed a penalty of Rs 103.,1
BSP released third list of candidates for Lok Sabha elections in UP,India News: LUCKNOW: The Bahujan Samaj Party (BSP) released its third list of candidates on Wednesday.,1
"Arani Lok Sabha election 2024: Date of voting, result, candidates, main parties, schedule",India News: Arani reflects a diverse demographic and remains a crucial constituency of Tamil Nadu.,1
"Theni Lok Sabha election 2024: Date of voting, result, candidates, main parties, schedule",India News: Theni reflects a diverse demographic and remains a crucial constituency of Tamil Nadu.,1
"Cuddalore Lok Sabha election 2024: Date of voting, result, candidates, main parties, schedule",India News: Cuddalore reflects a diverse demographic and remains a crucial constituency of Tamil Nadu.,1
No donor-to-party data for 26% of electoral bond amount,India News: Who bought electoral bonds for whom - that is the question.,1
"Prove you were a PLA soldier, China tells 'spy'","India News: BHOPAL: Chinese soldier, jailed spy, village shopkeeper in MP and a loving father.",1
Kin of man killed by stray cow get Rs14L in damages,India News: RAJKOT: A court ordered Rajkot Municipal Corporation to pay Rs 13 lakh,1
"Dharmapuri Lok Sabha election 2024: Date of voting, result, candidates, main parties, schedule",India News: Dharmapuri reflects a diverse demographic and remains a crucial constituency of Tamil Nadu.,1
"Thoothukudi Lok Sabha election 2024: Date of voting, result, candidates, main parties, schedule",India News: Thoothukkudi reflects a diverse demographic and remains a crucial constituency of Tamil Nadu.,1
"Tiruvannamalai Lok Sabha election 2024: Date of voting, result, candidates, main parties, schedule",India News: Tiruvannamalai reflects a diverse demographic and remains a crucial constituency of Tamil Nadu.,1
"Krishnagiri Lok Sabha election 2024: Date of voting, result, candidates, main parties, schedule",India News: Krishnagiri reflects a diverse demographic and remains a crucial constituency of Tamil Nadu.,1
"Ramanathapuram Lok Sabha election 2024: Date of voting, result, candidates, main parties, schedule",India News: Ramanathapuram reflects a diverse demographic and remains a crucial constituency of Tamil Nadu.,1
"Coimbatore Lok Sabha election 2024: Date of voting, result, candidates, main parties, schedule",India News: Coimbatore reflects a diverse demographic and remains a crucial constituency of Tamil Nadu.,1
Not asking India to cut down oil imports from Russia: US,"Two senior US Treasury officials, Eric Van Nostrand and Anna Morris, visit India to discuss the Phase 2 of the Russian oil price cap. The cap aims to limit Kremlin's profits and curb Ukraine aggression without disrupting the global energy market or pressuring…",1
Fake Indian currency seized in Batala,India News: Batala : Police seized fake Indian currency worth Rs 30 lakh following the arrest of a couple on Friday.,1
Soaring temperature: Jaundice cases cause concern in Ernakulam,India News: KOCHI: Rising jaundice cases amid soaring temperature causes huge concern among the health workers in Ernakulam.,1
Will BJD turncoats help BJP make electoral gains in Odisha?,India News: NEW DELHI: There has been a sudden twist in the story of ruling Biju Janata Dal in Odisha.,1
Supreme Court grants bail to activist Shoma Kanti Sen in Elgar Parishad case,India News: NEW DELHI: Supreme Court on Friday granted bail Nagpur University's former professor Shoma Sen in Elgar Parishad case.,1
Liquor worth Rs 98.52 crore seized in Kerala's Chamarajanagar LS constituency,"India News: BENGALURU: Ahead of the Lok Sabha polls, the Kerala Excise department has seized liquor worth Rs 98.",1
12 Maoists surrender in Jharkhand: Police,"India News: RANCHI: Twelve Maoists surrendered before security personnel in Jharkhand's West Singhbhum district on Thursday, police said.",1
"6 Maoists killed in Maharashtra, Chhattisgarh",India News: Four Maoists from Telangana were gunned down during a 25-hour combing operation in Maharashtra’s Gadchiroli Tuesday.,1
Earthquake of magnitude 4.3 hits Andaman islands,"India News: An earthquake of magnitude 4.3 jolted the Andaman Islands on Sunday, as per National Center for Seismology data.",1
"Make `Behenji' the PM, says Akash Anand","India News: LUCKNOW: Make ""Behenji"" the PM, said BSP national coordinator Akash Anand in his rally at Mathura on Thursday.",1
