link,title,snippet,date,source,content
https://www.deccanherald.com/india/patna-ahmedabad-flight-diverted-to-indore-due-to-medical-emergency-2957603,Patna-Ahmedabad flight diverted to Indore due to medical emergency,"A Patna to Ahmedabad flight had to be diverted to Indore on Friday owing to 
a medical emergency on board. ADVERTISEMENT.",9 hours ago,Deccan Herald,"Follow Us A Patna to Ahmedabad flight had to be diverted to Indore on Friday owing to a medical emergency on board. The incident took place on board IndiGo flight 6E-178, news agency ANI reported, following which the crew assisted the ill passenger, and the captain diverted the flight to Indore. Upon arrival at Indore, the passenger was referred for further treatment, IndiGo said. More to follow... #Elections2024"
https://theprint.in/india/two-held-with-brown-sugar-worth-rs-8-cr-in-indore/2020316/,Two held with brown sugar worth Rs 8 cr in Indore,"Indore, Mar 29 (PTI) Two persons were arrested on Friday in Indore in 
Madhya Pradesh with 7.7 kilograms of brown sugar worth Rs 8 crore,...",6 hours ago,ThePrint,"Indore, Mar 29 (PTI) Two persons were arrested on Friday in Indore in Madhya Pradesh with 7.7 kilograms of brown sugar worth Rs 8 crore, a police official said. Parasram Meghwal is a resident of Pratapgarh district in Rajasthan, while his son-in-law Dharmendra Chauhan is from Ratlam, Additional Commissioner of Police (Law and Order) Amit Singh told reporters. (function(v,d,o,ai){ai=d.createElement('script');ai.defer=true;ai.async=true;ai.src=v.location.protocol+o;d.head.appendChild(ai);})(window, document, '//a.vdo.ai/core/theprint/vdo.ai.js'); “The two were nabbed under Pardeshipura police station limits with a bag containing 7.7 kilograms of brown sugar worth Rs 8 crore. The duo has said they got the contraband from Pratapgarh in Rajasthan and were taking it to Howrah near Kolkata,” Singh informed. Show Full Article Indore, Mar 29 (PTI) Two persons were arrested on Friday in Indore in Madhya Pradesh with 7.7 kilograms of brown sugar worth Rs 8 crore, a police official said. Parasram Meghwal is a resident of Pratapgarh district in Rajasthan, while his son-in-law Dharmendra Chauhan is from Ratlam, Additional Commissioner of Police (Law and Order) Amit Singh told reporters. (function(v,d,o,ai){ai=d.createElement('script');ai.defer=true;ai.async=true;ai.src=v.location.protocol+o;d.head.appendChild(ai);})(window, document, '//a.vdo.ai/core/theprint/vdo.ai.js'); “The two were nabbed under Pardeshipura police station limits with a bag containing 7.7 kilograms of brown sugar worth Rs 8 crore. The duo has said they got the contraband from Pratapgarh in Rajasthan and were taking it to Howrah near Kolkata,” Singh informed. Show Full Article Parasram Meghwal is a resident of Pratapgarh district in Rajasthan, while his son-in-law Dharmendra Chauhan is from Ratlam, Additional Commissioner of Police (Law and Order) Amit Singh told reporters. “The two were nabbed under Pardeshipura police station limits with a bag containing 7.7 kilograms of brown sugar worth Rs 8 crore. The duo has said they got the contraband from Pratapgarh in Rajasthan and were taking it to Howrah near Kolkata,” Singh informed. Show Full Article “The two were nabbed under Pardeshipura police station limits with a bag containing 7.7 kilograms of brown sugar worth Rs 8 crore. The duo has said they got the contraband from Pratapgarh in Rajasthan and were taking it to Howrah near Kolkata,” Singh informed. A Narcotic Drugs and Psychotropic Substances (NDPS) Act was registered and further probe into the peddling network is underway, he said. PTI HWP LAL BNM This report is auto-generated from PTI news service. ThePrint holds no responsibility for its content. var ytflag = 0; var myListener = function() { document.removeEventListener('mousemove', myListener, false); lazyloadmyframes(); }; document.addEventListener('mousemove', myListener, false); window.addEventListener('scroll', function() { if (ytflag == 0) { lazyloadmyframes(); ytflag = 1; } }); function lazyloadmyframes() { var ytv = document.getElementsByClassName(""klazyiframe""); for (var i = 0; i < ytv.length; i++) { ytv[i].src = ytv[i].getAttribute('data-src'); } } A Narcotic Drugs and Psychotropic Substances (NDPS) Act was registered and further probe into the peddling network is underway, he said. PTI HWP LAL BNM This report is auto-generated from PTI news service. ThePrint holds no responsibility for its content. var ytflag = 0; var myListener = function() { document.removeEventListener('mousemove', myListener, false); lazyloadmyframes(); }; document.addEventListener('mousemove', myListener, false); window.addEventListener('scroll', function() { if (ytflag == 0) { lazyloadmyframes(); ytflag = 1; } });"
https://www.thehindu.com/news/national/woman-stripped-paraded-and-beaten-up-in-mp-village-four-women-held/article67999160.ece,"Woman stripped, paraded and beaten up in M.P. village; four women held","Four women were arrested for allegedly beating up, stripping and parading a 
30-year-old woman over a dispute at a village in Indore.",2 days ago,The Hindu,"To enjoy additional benefits CONNECT WITH US March 27, 2024 10:11 pm | Updated March 28, 2024 11:00 am IST - Indore Four women were arrested for allegedly beating up, stripping and parading a 30-year-old woman over a dispute at a village in Madhya Pradesh's Indore district, police said on Wednesday. A video of the purported incident that occurred during the Holi celebrations also surfaced on social media. “On Monday, four women forcibly pulled the victim out of her house, beat her up and humiliated her by stripping her naked in public at Bachhora village of Gautampura police station area,” Superintendent of Police (Rural) Sunil Mehta said. All four accused women were later arrested, he said. Mr. Mehta visited the village on Wednesday and said peace prevails there now. But as the victim is disturbed due to her humiliation, she has gone to her parents' home, he said. One of the accused suspected that the victim was instigating her mother-in-law against her. She also suspected that the victim had taken her mother-in-law to Mandsaur without informing her, the police official said. According to him, some onlookers in the village shot video of the humiliating act and circulated it. These people are being identified and appropriate legal steps will be taken against them, he said. Eyewitnesses said the accused women dragged the victim out of her house and stripped her. They said that the victim woman kept pleading for mercy at the time of the incident, but the accused did not relent and they openly stripped her by tearing her clothes. They also took her to some distance on the common road of the village in the same condition. A police officer said that a case has been registered under Indian Penal Code (IPC) sections 323 (voluntarily causing hurt), 354-A (sexual harassment) and 452 (wrongfully restraining and assaulting). Madhya Pradesh BACK TO TOP Terms & conditions | Institutional Subscriber Comments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines for posting your comments. We have migrated to a new commenting platform. If you are already a registered user of The Hindu and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments. Users can access their older comments by logging into their accounts on Vuukle."
https://timesofindia.indiatimes.com/city/indore/rte-82-students-complete-offline-admission-on-allotted-seats/articleshow/108832290.cms,RTE: 82% students complete offline admission on allotted seats,"Indore: Over 82% of the students allotted seats under RTE have successfully 
completed offline admissions in various private schools of the...",1 day ago,Times of India,10 classic baby names that are making a comeback 8 light yet healthy snacks for a speedy weight loss 8 house rules that every parent should teach their child How to make South Indian Lemon Coconut Rice at home How to make South-Indian style Mutton Curry 10 quickest animals that race across the Earth ​10 things mentally strong people do​ Educational qualifications of Mughal rulers Navya Naveli on how the Bachchan household has dishes named after people Fitness secrets of new bride Aditi Rao Hydari
https://timesofindia.indiatimes.com/city/indore/red-sea-crisis-mp-exporters-struggle-to-meet-deadline/articleshow/108832303.cms,Red Sea crisis: MP exporters struggle to meet deadline,"Indore: Increased transit time and high freight charges due to Red Sea 
disruptions have raised worries of exporters of Madhya Pradesh,...",1 day ago,Times of India,10 classic baby names that are making a comeback 8 light yet healthy snacks for a speedy weight loss 8 house rules that every parent should teach their child How to make South Indian Lemon Coconut Rice at home How to make South-Indian style Mutton Curry 10 quickest animals that race across the Earth ​10 things mentally strong people do​ Educational qualifications of Mughal rulers Navya Naveli on how the Bachchan household has dishes named after people Fitness secrets of new bride Aditi Rao Hydari
https://www.freepressjournal.in/indore/indore-experts-share-perspectives-on-women-led-development,Indore: Experts Share Perspectives On Women-Led Development,"DAVV vice chancellor Renu Jain elucidated the University Connect Hub's 
mission, drawing parallels with historical figures like Devi Ahilya,...",23 hours ago,Free Press Journal,"Indore (Madhya Pradesh): In a collaborative effort between the University Connect Hub and the Research and Information System for Developing Nations (RIS), a one-day conference titled ""Empowering Change: Perspectives on Women-led Development"" was held at the School of Economics, Devi Ahilya Vishwavidyalaya on Thursday. DAVV vice chancellor Renu Jain elucidated the University Connect Hub's mission, drawing parallels with historical figures like Devi Ahilya, emphasising effective governance and leadership without resorting to violence. Rajendra Singh University vice chancellor Prof Akhilesh Singh shed light on linking women-led development with financial literacy, exemplifying its impact on rural areas through real-life instances. The keynote speaker, Gen Dev Centre for Research and Innovation executive director Prof Govind Kelkar underscored the need for societal norm shifts towards economic justice and gender equality, advocating for women's empowerment through knowledge and economic opportunities. Jimmy McGilligan Centre for Sustainable Development director Dr Janak Palta stressed on the need for empowering rural and tribal women for sustainable communities, emphasizing the importance of training and education for their financial independence. Earlier In his welcome address, economics department head Prof Kanhaiya Ahuja elaborated on the various verticals of development that the University Connect Programme will focus on, along with explaining the themes and objectives of the Hub."
https://www.freepressjournal.in/indore/indore-elevated-corridor-soil-rock-testing-reaches-indira-gandhi-square,"Indore: Elevated Corridor Soil, Rock Testing Reaches Indira Gandhi Square","Indore (Madhya Pradesh): For the 7.4km elevated corridor from Navlakha to 
LIG Square, soil and rocks will have to be tested at a total of 60...",1 day ago,Free Press Journal,"Indore (Madhya Pradesh): For the 7.4km elevated corridor from Navlakha to LIG Square, soil and rocks will have to be tested at a total of 60 places. Now, the testing work has reached till Indira Gandhi Square. The officials concerned said that testing has been done at several places with three machines at MR-9 intersection and Navlakha Square. The testing will also be conducted on the area where the three arms of the corridor will be built. It is believed that most of the testing work will be completed in March and the remaining would be concluded by April. After receiving the reports of the samples, the PWD will prepare to start the work of the elevated bridge from April. The officials said that at present, the testing is being conducted with more than five machines. Till now, the work is being done from near LIG Square till GPO. At present, samples of soil and rocks have been taken from several places and sent to the lab for testing. After testing the quality of soil and rocks it can be decided to what depth the pillars to be built for the bridge. According to the PWD officials, the contractor company is going to bring more boring machines to speed up the testing work."
https://www.freepressjournal.in/indore/indore-weather-mercury-keeps-soaring-reaches-close-to-39c-night-temp-crosses-22-mark,"Indore Weather: Mercury Keeps Soaring, Reaches Close To 39°C, Night Temp 
Crosses 22 Mark","Indore (Madhya Pradesh): The cloudy weather on Tuesday evening failed to 
provide any relief to the citizens from the soaring temperature and...",1 day ago,Free Press Journal,"Indore (Madhya Pradesh): The cloudy weather on Tuesday evening failed to provide any relief to the citizens from the soaring temperature and the change in wind pattern has pushed the day temperature on Wednesday close to 39 degrees Celsius. This is for the first time that the day temperature has reached close to 39 degrees Celsius mark in this season while the night temperature too crossed the 22 degrees Celsius mark. Meanwhile, officials of regional meteorological department said that there would be no change in rising temperature for the next two days but there would be slight fluctuation again after March 30. The current rise in temperatures is because of the hot winds blowing in from Rajasthan to the state for the past few days. However, the sky remained partially cloudy since Tuesday evening but did not bring any relief for the people. Meteorological department officials said that this is the onset of summer as chances of much drop in temperature are unlikely. Moreover, the day temperature will also increase by 1-2 degrees Celsius in a week and no change will take place thereafter. The next one week will remain dry and hot as there is no major change in the weather system. On Wednesday, the city recorded a maximum temperature of 38.8 degrees Celsius which was 2 degrees Celsius above normal, while the minimum temperature was 22.8 degrees Celsius which was 4 degrees Celsius above normal. Residents felt the heat as the weather has remained hot and dry in the last many days. Rising temperature (in degrees Celsius) trend Along with an increase in the day temperature, the night temperature in the city has also been increasing as it is hovering above the normal temperature. “There’ll be no difference in the night temperature except an increase of 2-3 degrees in the coming days. Only local factors will be responsible for any change in the weather conditions in the coming days,” Met officials added. Date Max Min March 27 38.8 --- March 26 37.5 22.8 March 25 36.5 20.6 March 24 36.4 20.4 March 23 36.8 21.8 March 22 36.3 19.0 March 21 34.1 17.4"
https://www.freepressjournal.in/indore/indore-voter-awareness-programmes-to-be-organised-in-4-phases,Indore: Voter Awareness Programmes To Be Organised In 4 Phases,"Indore (Madhya Pradesh): Special efforts are being made to increase the 
voting percentage in the forthcoming Lok Sabha elections.",1 day ago,Free Press Journal,"Indore (Madhya Pradesh): Special efforts are being made to increase the voting percentage in the forthcoming Lok Sabha elections. As part of the efforts, various events will be organised continuously and participation of every section of the society will be ensured. A time-bound action plan has been prepared for organising the programmes and instructions have been given to organise the events in four phases from April 2 to May 10. Nodal officer and chief executive officer of the Public Awareness Campaign to be run under the Systematic Voters Education and Electoral Practices (SVEEP) Siddharth Jain said that to make voters aware, awareness rallies and rangoli making will be organised through district panchayat, school education, women and child development department and other supporting departments. Activities like mehndi and wall writing etc. will be done. For this, a calendar has been prepared. Also, instructions have been given that all the district panchayats should ensure to organise awareness activities with the BLOs, local teachers, anganwadi workers and livelihood groups of their respective areas. Public awareness activities should be organised continuously at the local level till the completion of voting. In these programmes, disabled voter conferences should also be organised at the cluster level. Cycle rally and honouring ceremony should be organised. A meeting of the team of BLOs and village level employees should be organised in every village. In every village, election school activity should be organised by BLO and panchayat secretary with 50 to 200 young voters. Senior voter conference and felicitation programme in every panchayat. Meetings should be organised in big factories and employment places. Organise voter awareness rally of livelihood mission, in school and anganwadi areas and form a human chain after the rally. In big villages, signature campaigns were run on flex and walls in public squares and pledge letters were filled in every village. In big villages, there should be programs for making mega rangoli in public squares and for making Mehndi in every village. Vote marathon should be organised at the cluster level. Cycle and bike rallies and make human shapes of SVEEP signs should be held at the cluster level."
https://www.freepressjournal.in/indore/indore-net-score-allowed-for-admission-to-phd-courses-in-place-of-entrance-test,"Indore: NET Score Allowed For Admission To PhD Courses In Place Of Entrance 
Test","Indore (Madhya Pradesh): The University Grants Commission (UGC) on 
Wednesday said that the scores of National Eligibility Test (NET) can be...",1 day ago,Free Press Journal,"Indore (Madhya Pradesh): The University Grants Commission (UGC) on Wednesday said that the scores of National Eligibility Test (NET) can be used by students for admission to PhD programmes in place of entrance tests conducted by the different universities/HEIs. In a public notice, UGC secretary Prof Manish R Joshi said, “Many universities conduct their entrance tests for admission to their PhD programmes requiring the students to write multiple PhD entrance exams. To help students with one national entrance test for PhD admissions as a part of implementing the National Education Policy (NEP)-2020, an expert committee was constituted to review the provisions of the NET.” “Based on the recommendations of the committee in a meeting held on March 13, it was decided that from the academic year 2024-2025, the NET score could be used by students to seek admission to PhD programmes in place of entrance tests conducted by the different universities/HEIs,” the public notice reads. NET scores will be declared in percentile along with the candidate's marks to utilise the marks for admission to PhD, informed the public notice. UGC also informed that for candidates who qualify in categories 2 and 3 70% weightage will be given for test scores and 30% weightage for the interview for admission to PhD programmes. The admission will be based on the combined merit of NET marks and the marks obtained in the interview/viva voce. The marks obtained in the NET by the candidates in Categories 2 and 3 will be valid for a period of one year for admission to PhD. The JRF-qualified students are admitted into the PhD programme based on an interview as per the UGC Regulations 2022. Three categories From June 2024 onwards, therefore, the NET candidates will be declared eligible in three categories: Eligible for (i) admission to PhD with JRF and (ii) appointment as assistant professor Eligible for (i) admission to PhD without JRF and (ii) appointment as assistant professor Eligible for admission to PhD programme only and not for the award of JRF or appointment as assistant professor"
